listing_id,vin,make,model,year,trim,body_type,fuel_type,transmission,mileage,price,condition,subregion,region,country ,seller_type
1,9M6LF68V634LY2252,Tesla,Model 3,2019,,Coupe,Electric,Manual,46134,19919,good,New Lindsey, GA, US,Dealer
2,1S0ZCY536BSCY2864,Nissan,Rogue,2024,LT,Sedan,Hybrid,Automatic,16109,19480,good,Pughtown, CO, US,Dealer
3,YFB625BN0RTMZ5590,Hyundai,i20,2018,XLE,Crossover,Petrol,Automatic,173239,4556,good,Satna, HR, India,Dealer
4,CPMZ4RFN5WYL37096,Kia,Sportage,2023,EX,Hatchback,Diesel,CVT,36810,11536,fair,???, Osaka, Japan,Certified Pre-Owned
5,4PJZG3MV6D9365673,Kia,Seltos,2020,Trend,Pickup,Diesel,Automatic,87749,14098,good,??????, Osaka, Japan,Certified Pre-Owned
6,KAX8EMMZ5TW3E7946,Mercedes-Benz,GLA,2019,Platinum,Crossover,Electric,CVT,60853,17137,excellent,Christopherfort, NB, Canada,Dealer
7,PKPJCG6R38JDU4213,Kia,Sorento,2013,EX,Coupe,Petrol,Manual,92762,2436,fair,West Susanburgh, NB, Canada,Dealer
8,MF4L56LJ0YN6V9028,Tata,Altroz,2017,Long Range,Crossover,Petrol,CVT,204753,2620,excellent,Perrot-sur-Mer, NAQ, France,Certified Pre-Owned
9,ZS09HE9J924E79381,Chevrolet,Silverado,2018,LT,Crossover,Petrol,CVT,103322,5325,good,Lake Taylor, TAS, Australia,Dealer
10,3F9LKB8C7ZC551661,Chevrolet,Silverado,2015,LX,Crossover,Electric,Manual,119321,2812,good,Mckenzieside, TAS, Australia,Dealer
11,JYRFUPMR4HUP00231,Toyota,Camry,2023,Premium,Crossover,Petrol,Automatic,25103,22387,excellent,Port Julie, BC, Canada,Dealer
12,AWBUN0Z246KKV4896,Skoda,Octavia,2014,LTZ,Crossover,Petrol,Automatic,235126,1738,fair,Bidar, RJ, India,Certified Pre-Owned
13,DSGFTHBCXS23J0122,Chevrolet,Malibu,2024,Touring,Convertible,Petrol,Manual,8796,41256,new,New Kevinfort, SA, Australia,Dealer
14,MCG3JKC95ALZH7129,Kia,Sorento,2023,XSE,Van,Petrol,Automatic,20300,22175,excellent,Martinburgh, IL, US,Private Party
15,F3RCWPTB6TV0F6722,Tata,Nexon,2023,EX,MPV,Diesel,Automatic,31363,13669,excellent,North Katherine, TAS, Australia,Dealer
16,YM5ZXBVK81UZU9787,Audi,A6,2011,Platinum,Crossover,Petrol,Automatic,144829,1926,good,South Matthew, NC, US,Private Party
17,VD6GB39J8MGPX4258,Kia,Sorento,2025,Limited,Hatchback,Diesel,AMT,0,23304,excellent,Port Debramouth, TAS, Australia,Private Party
